2016 Ward Code;2016 Ward Name;Sex;All Ages;Age 0-4;Age 5-9;Age 10-14;Age 15;Age 16-19;Age 20-24;Age 25-29;Age 30-34;Age 35-39;Age 40-44;Age 45-49;Age 50-54;Age 55-59;Age 60-64;Age 65-69;Age 70-74;Age 75-79;Age 80-84;Age 85-89;Age 90+
E05010885;Ashley;Male;9916;548;576;531;109;396;1217;1663;1218;792;587;483;483;370;328;247;165;115;50;13;25
E05010888;Bishopston and Ashley Down;Male;6812;475;422;288;50;177;1129;859;660;579;485;335;318;268;215;194;158;80;48;39;33
E05010893;Clifton;Male;6723;171;159;199;75;546;1490;1178;579;330;282;232;266;238;197;244;249;134;75;63;16
E05010894;Clifton Down;Male;5740;139;105;101;33;141;1716;1179;631;365;217;194;177;171;122;158;107;84;59;26;15
E05010906;Knowle;Male;6492;482;457;465;70;296;374;418;557;501;481;416;410;358;314;278;246;155;108;79;27
E05010908;Lockleaze;Male;6823;461;502;523;85;323;685;646;595;546;410;371;339;323;276;232;196;143;94;43;30
E05010898;Filwood;Female;7145;494;582;521;92;381;429;643;585;527;435;395;443;332;376;243;259;181;137;54;36
E05010901;Henbury and Brentry;Female;6394;423;453;360;62;225;367;500;563;456;359;394;375;367;322;306;316;208;155;98;85
E05010915;Stockwood;Female;5793;317;343;315;48;243;319;379;392;345;287;355;369;365;358;314;297;269;253;119;106
E05010889;Bishopsworth;Male;5561;394;341;350;61;232;284;504;464;437;325;312;327;324;299;237;250;166;143;80;31
E05010896;Easton;Male;7173;552;491;362;78;244;352;832;957;758;569;449;371;329;219;168;144;121;83;56;38
E05010909;Redland;Male;6440;275;407;518;103;308;761;668;475;382;431;378;433;370;269;216;196;111;67;44;28
E05010914;Southville;Male;6685;397;313;222;31;145;534;1356;816;607;473;376;335;263;227;204;144;101;61;56;24
E05010915;Stockwood;Male;5557;351;358;306;65;262;308;395;374;339;290;338;363;350;310;293;273;258;178;96;50
